code5,date,source_change_pct,high,prev_close,max_pct,n_max_est,t5_return_pct,t10_return_pct,t20_return_pct
08042,2026-05-21,47.37,0.091,0.057,59.6491,2.0,-24.0964,-3.6145,-6.0241
02022,2026-05-21,20.00,0.075,0.055,36.3636,1.0,-19.403,-2.9851,-17.9104
00162,2026-05-22,109.30,0.1,0.043,132.5581,6.0,-32.0988,-35.8025,-44.4444
00524,2026-05-22,31.58,1.2,0.76,57.8947,2.0,82.243,128.972,71.9626
01796,2026-05-22,44.74,0.7,0.38,84.2105,4.0,-10.5263,-22.807,-38.5965
01796,2026-05-22,55.26,0.7,0.38,84.2105,4.0,-10.5263,-22.807,-38.5965
02129,2026-05-22,23.23,0.215,0.155,38.7097,1.0,30.0,-1.0,-0.5
01796,2026-05-22,65.79,0.7,0.38,84.2105,4.0,-10.5263,-22.807,-38.5965
00162,2026-05-22,130.23,0.1,0.043,132.5581,6.0,-32.0988,-35.8025,-44.4444
02129,2026-05-22,33.55,0.215,0.155,38.7097,1.0,30.0,-1.0,-0.5
00524,2026-05-22,43.42,1.2,0.76,57.8947,2.0,82.243,128.972,71.9626
08480,2026-05-22,30.43,0.27,0.184,46.7391,2.0,2.5,3.3333,-26.6667
00162,2026-05-25,88.37,,,,,,,
00524,2026-05-25,40.79,,,,,,,
01796,2026-05-25,50.00,,,,,,,
02129,2026-05-25,29.03,,,,,,,
08480,2026-05-25,30.43,,,,,,,
08490,2026-05-26,35.14,0.255,0.148,72.2973,3.0,-22.0588,-20.5882,-23.0392
00243,2026-05-26,32.73,0.85,0.55,54.5455,2.0,-25.0,-21.25,-40.625
00243,2026-05-26,49.09,0.85,0.55,54.5455,2.0,-25.0,-21.25,-40.625
08490,2026-05-26,55.41,0.255,0.148,72.2973,3.0,-22.0588,-20.5882,-23.0392
08490,2026-05-26,67.57,0.255,0.148,72.2973,3.0,-22.0588,-20.5882,-23.0392
02028,2026-05-27,60.15,0.248,0.133,86.4662,4.0,413.2275,370.8995,381.4815
08268,2026-05-27,22.36,0.315,0.237,32.9114,1.0,0.0,5.8824,-3.5294
01162,2026-05-27,21.16,0.23,0.189,21.6931,1.0,-6.7961,-11.165,-14.0777
01259,2026-05-28,20.59,0.055,0.034,61.7647,3.0,-15.2174,-28.2609,-34.7826
01679,2026-05-28,101.92,1.16,0.52,123.0769,6.0,124.4444,117.7778,91.1111
01259,2026-05-28,47.06,0.055,0.034,61.7647,3.0,-15.2174,-28.2609,-34.7826
02028,2026-05-28,21.16,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,32.28,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,58.73,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,74.60,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,85.19,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,95.77,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,124.87,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
02028,2026-05-28,151.32,0.5,0.189,164.5503,8.0,151.2195,107.3171,126.8293
08070,2026-05-29,22.73,1.66,1.1,50.9091,2.0,-14.5695,-15.894,-25.1656
08070,2026-05-29,34.55,1.66,1.1,50.9091,2.0,-14.5695,-15.894,-25.1656
08070,2026-05-29,45.45,1.66,1.1,50.9091,2.0,-14.5695,-15.894,-25.1656
02310,2026-05-29,75.44,0.25,0.114,119.2982,5.0,-29.902,-23.0392,-29.4118
06128,2026-05-29,21.43,0.072,0.056,28.5714,1.0,3.0769,-4.6154,-10.7692
01472,2026-05-29,24.53,0.145,0.106,36.7925,1.0,-10.0,-30.0,-30.7143
01472,2026-05-29,35.85,0.145,0.106,36.7925,1.0,-10.0,-30.0,-30.7143
00889,2026-06-01,46.51,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
01991,2026-06-01,25.86,0.8,,,0.0,3.1746,-4.7619,-12.6984
00889,2026-06-01,83.72,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,100.00,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
01796,2026-06-01,27.27,0.56,0.385,45.4545,2.0,-13.7255,-22.549,-38.2353
01796,2026-06-01,40.26,0.56,0.385,45.4545,2.0,-13.7255,-22.549,-38.2353
00889,2026-06-01,111.63,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,127.91,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,144.19,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,174.42,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,200.00,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
00889,2026-06-01,213.95,1.35,0.43,213.9535,10.0,-46.6667,-60.0,-52.5926
